0.01	981673	18327	4988.29	203983	9056.53
0.05	934579	65421	2600.62	132563	11679.7
0.1	879999	120001	1457.64	83908.9	11914.3
0.01	979941	20059	25607.3	1.51458e+06	6075.9
0.05	923944	76056	9978.77	864490	8286.81
0.1	859056	140944	5444.86	502096	8381.89
0.01	981244	18756	7980.75	367468	8354.37
0.05	931761	68239	3759.41	232417	10910.4
0.1	875296	124704	2001.92	142625	10910.1
0.01	980947	19053	9676.98	449147	9689.06
0.05	930627	69373	4445.81	283590	12931.4
0.1	871527	128473	2337.94	173893	13152.2
0.01	980426	19574	13983.2	749693	16063.5
0.05	927592	72408	5705.53	445483	20845.9
0.1	866068	133932	2964.56	266159	20648.3
0.01	981082	18918	7754.91	376630	7889.39
0.05	932576	67424	3589.77	237256	10425.1
0.1	875674	124326	1875.17	144880	10542.3
0.01	977691	22309	38027.7	907331	6532.62
0.05	910288	89712	23942.1	542610	8037.58
0.1	831224	168776	17283.5	351998	8568.73
0.01	981527	18473	6018.75	266743	5564.98
0.05	934809	65191	2945.86	173112	7176.9
0.1	878887	121113	1608.57	107427	7331.35
0.01	782194	17806	38354.9	907424	6335
0.05	727641	72359	24245.8	541442	7811.86
0.1	664302	135698	17524.8	348002	8098.61
0.01	977541	22459	38421.1	907351	5511.66
0.05	909271	90729	24164.4	543887	6873.15
0.1	830476	169524	17409.5	352716	7193.73
0.01	782613	17387	37453.2	1.18543e+06	6232.48
0.05	730278	69722	21310.5	778353	8937.49
0.1	671074	128926	13996.2	536079	9767.98
0.01	586597	13403	37732.8	896521	5923.3
0.05	546147	53853	23962.1	536553	7241.89
0.1	498776	101224	17319.6	347031	7523.49
0.01	980819	19181	7240.54	319523	7134.84
0.05	931449	68551	3439.73	202542	9188.51
0.1	873861	126139	1871.4	125004	9417.12
0.01	784138	15862	18299	924494	5268.73
0.05	740888	59112	7632.28	558978	6867.9
0.1	691264	108736	3853.11	333210	6849.92
0.01	981422	18578	5400.69	226724	9958.51
0.05	935212	64788	2741.68	148750	12819.5
0.1	880456	119544	1533.01	93693.7	13158
0.01	980598	19402	9480.54	443325	10134.2
0.05	929831	70169	4279.03	276375	13211.8
0.1	870553	129447	2278.56	167881	13073.1
0.01	782207	17793	35445.7	872549	5835.36
0.05	728963	71037	22179.8	522027	6988.13
0.1	668120	131880	15822.7	339792	7385.84
0.01	981326	18674	5871.15	264448	5765.49
0.05	934624	65376	2856.98	169538	7415.67
0.1	878425	121575	1575.91	104361	7516.97
0.01	782471	17529	45375.9	3.23958e+06	11776.9
0.05	731887	68113	14975.8	1.67116e+06	15184.3
0.1	673037	126963	8834.18	926085	15929.3
0.01	981358	18642	6055.16	271876	4855.49
0.05	933677	66323	2992.41	173259	6423.48
0.1	876955	123045	1659.26	107587	6601.85
0.01	586821	13179	48939.7	2.88258e+06	11170.8
0.05	547218	52782	20241.5	1.6823e+06	16725.6
0.1	500654	99346	11994.9	1.00382e+06	17429.2
0.01	195592	4408	58944	4.5347e+06	17262.2
0.05	182295	17705	17887.3	2.32749e+06	24303.6
0.1	167135	32865	10115.1	1.28196e+06	23973.8
0.01	981013	18987	5780.62	240246	6204.4
0.05	933791	66209	2985.99	156411	7654.87
0.1	878213	121787	1650.4	98299.1	7865.29
0.01	977899	22101	38612.7	1.10484e+06	6868.42
0.05	911001	88999	23326.2	725640	9658.1
0.1	834690	165310	16041.7	500056	10932.3
0.01	980664	19336	9257.5	443187	9474.31
0.05	930205	69795	4268.9	274740	12686.4
0.1	870974	129026	2301.64	167571	12710.3
0.01	981411	18589	6351.09	281342	6450.6
0.05	933505	66495	3107.04	180502	8848.13
0.1	877226	122774	1687.05	110929	8386.61
0.01	980473	19527	11397.2	545657	12037.4
0.05	928093	71907	5028.71	334182	15719.8
0.1	867737	132263	2623.64	202556	15779.2
0.01	981120	18880	8050.17	366512	9014.92
0.05	931141	68859	3809.29	230292	11661.6
0.1	873492	126508	2066.5	141476	10446.1
0.01	979854	20146	19595.2	1.10901e+06	4457.13
0.05	926036	73964	7273.57	648086	5978.5
0.1	862464	137536	3526.45	381401	5814.73
0.01	980768	19232	8283.9	368726	9442.2
0.05	931393	68607	3922.23	234026	12064.5
0.1	873002	126998	2091.8	143839	12026.1
0.01	981437	18563	5390.49	225493	5265.24
0.05	934035	65965	2758.96	145945	6704.03
0.1	878564	121436	1529.93	91820.8	6886.35
0.01	981384	18616	5182.29	212593	4963
0.05	934587	65413	2614.63	139720	6286.22
0.1	878859	121141	1463.77	87790.2	6077.71
0.01	980729	19271	14043.6	674898	14632.7
0.05	929402	70598	6162.98	420362	18635.2
0.1	868628	131372	3172.26	254755	15901.4
0.01	586921	13079	35526.6	1.20856e+06	6484.92
0.05	548235	51765	20225.3	800613	9562.74
0.1	503399	96601	13218.5	542445	11195.3
0.01	981174	18826	6341.06	264751	6164.94
0.05	933020	66980	3186.27	172381	7843.94
0.1	877283	122717	1714.16	107733	8015.09
0.01	981184	18816	6737.88	297042	7402.88
0.05	933141	66859	3295.1	193302	9875.99
0.1	876588	123412	1809.89	119696	8845.61
0.01	981160	18840	7974.24	342479	7843.6
0.05	931002	68998	3871.86	219697	9677.49
0.1	873336	126664	2072.78	136010	8479.59
0.01	981769	18231	4627.45	187318	4334.4
0.05	935639	64361	2477.22	124555	5681.53
0.1	881553	118447	1393.77	79069.3	5833.58
0.01	981706	18294	4922.97	202352	4732.51
0.05	935485	64515	2593.34	134539	5939.33
0.1	881309	118691	1449.38	85662	6359.89
0.01	980725	19275	10507.7	454136	10383.2
0.05	928054	71946	5083.38	281278	13533.2
0.1	866943	133057	2850.5	172973	13453.8
0.01	977663	22337	38271.2	914254	5715.09
0.05	909008	90992	24045.6	543642	7152.88
0.1	830559	169441	17407.8	352838	7558.95
0.01	980141	19859	17271.7	864066	19467.4
0.05	925517	74483	7527.59	516317	25702.2
0.1	862578	137422	3911.26	310984	27790.3
0.01	978372	21628	32749.1	821130	5112.31
0.05	914010	85990	20264.2	503778	6484.72
0.1	839664	160336	14207	329138	6576.37
0.01	783374	16626	33670.4	1.62826e+06	7355.83
0.05	735469	64531	15755	1.00894e+06	10510.4
0.1	680908	119092	8930.22	628281	11306.3
0.01	981390	18610	5876.26	259914	5817.09
0.05	933185	66815	2955.13	166154	7344.78
0.1	877092	122908	1617.86	102715	6955.19
0.01	783111	16889	37153.3	2.48506e+06	9839.07
0.05	735417	64583	10679.8	1.31214e+06	12449.1
0.1	679665	120335	5088.38	743130	12657.1
0.01	977675	22325	38328.8	905454	6878.21
0.05	909251	90749	24211.3	538644	8348.99
0.1	830701	169299	17589.9	348828	8760.93
0.01	980430	19570	11336.3	539547	11822.5
0.05	929404	70596	5131.05	332768	14629.3
0.1	869725	130275	2636.07	202048	14750.8
