0.01	986386	13614	340.995	7371.78	283.78	
0.05	966857	33143	306.865	6496.07	345.1	
0.1	938695	61305	255.272	5248.19	380.78	
0.01	986489	13511	341.585	7301.8	290.99	
0.05	967038	32962	304.077	6552.32	347.22	
0.1	938747	61253	255.206	5245.04	387.32	
0.01	986443	13557	340.463	7280.07	270.63	
0.05	966951	33049	303.484	6531.98	321.59	
0.1	939051	60949	253.134	5245.41	354.09	
0.01	986419	13581	339.687	7298.74	259.06	
0.05	967205	32795	302.112	6487.57	306.04	
0.1	938601	61399	251.321	5233.18	341.48	
0.01	986418	13582	338.268	7343.66	279.14	
0.05	967064	32936	300.834	6543.32	335.51	
0.1	938609	61391	250.174	5227.66	376.6	
0.01	986585	13415	336.446	7259.42	267.38	
0.05	967051	32949	301.059	6517.61	318.23	
0.1	938836	61164	249.938	5217.96	349.98	
0.01	986527	13473	335.723	7304.71	255.43	
0.05	966801	33199	299.458	6505.96	305.37	
0.1	938972	61028	248.94	5200.57	336.73	
0.01	986414	13586	335.502	7325.91	567.32	
0.05	967015	32985	298.357	6487.56	686.17	
0.1	938822	61178	248.083	5205.46	750.83	
0.01	986305	13695	335.502	7348.2	345.09	
0.05	967143	32857	298.712	6496.44	409.77	
0.1	939114	60886	246.879	5214.73	455.68	
0.01	986231	13769	335.296	7290.65	276.76	
0.05	967103	32897	295.339	6533.99	330.3	
0.1	938533	61467	246.403	5192.39	371.08	
0.01	986261	13739	333.549	7329.53	256.36	
0.05	967084	32916	295.497	6499.12	302.43	
0.1	939112	60888	244.469	5181.06	333.47	
0.01	986290	13710	332.583	7324.33	272.16	
0.05	966880	33120	294.362	6504.12	324.85	
0.1	938840	61160	242.929	5200.54	361.31	
0.01	986509	13491	333.207	7367.5	246.04	
0.05	966958	33042	292.521	6494.88	289.71	
0.1	939001	60999	243.182	5191.9	320.03	
0.01	986387	13613	331.213	7284.92	341.78	
0.05	966994	33006	293.316	6515.59	408.79	
0.1	938670	61330	242.604	5184.04	455.37	
0.01	986333	13667	334.095	7302.12	255.11	
0.05	966499	33501	292.972	6494.96	303.12	
0.1	938947	61053	242.497	5207.17	333.85	
0.01	986413	13587	332.929	7310.75	253.63	
0.05	966851	33149	292.835	6516.54	302.26	
0.1	938180	61820	241.399	5205.1	334.91	
0.01	986291	13709	330.567	7349.97	246.17	
0.05	966781	33219	292.085	6525.31	290.39	
0.1	938604	61396	241.867	5217.32	322.11	
0.01	986405	13595	330.934	7392.04	343.3	
0.05	966910	33090	292.531	6529.7	408.67	
0.1	938456	61544	241.638	5216.29	456.95	
0.01	986372	13628	330.885	7416.98	254.27	
0.05	966735	33265	293.146	6510.8	302.48	
0.1	938275	61725	240.015	5215.64	323.95	
0.01	986572	13428	330.201	7365.66	339.58	
0.05	966730	33270	292.271	6554.52	409.29	
0.1	938395	61605	239.317	5215.6	453.58	
0.01	986444	13556	329.717	7379.01	520.18	
0.05	966662	33338	290.728	6543.52	632.26	
0.1	938488	61512	238.454	5219.23	734.48	
0.01	986245	13755	332.261	7296.85	258.22	
0.05	966546	33454	290.476	6536.66	307.82	
0.1	938548	61452	239.008	5217.29	341.41	
0.01	986436	13564	332.207	7407.42	516.8	
0.05	966892	33108	290.656	6559	608.14	
0.1	938200	61800	237.818	5231.65	707.95	
0.01	986365	13635	330.755	7403.96	270.09	
0.05	966764	33236	291.439	6588.71	323.34	
0.1	938038	61962	239.251	5252.37	361.05	
0.01	986381	13619	332.731	7530.02	255.68	
0.05	966631	33369	293.064	6628.24	302.82	
0.1	938083	61917	239.477	5287.88	340.9	
0.01	986460	13540	332.404	7445.72	255.11	
0.05	966862	33138	291.879	6614.97	303.63	
0.1	937615	62385	238.969	5282.98	338.91	
0.01	986320	13680	333.563	7466.08	257.43	
0.05	966708	33292	292.295	6659.86	304.75	
0.1	937737	62263	238.397	5296.9	338.4	
0.01	986231	13769	334.609	7515.17	261.78	
0.05	966321	33679	291.575	6671.65	313.17	
0.1	937937	62063	238.149	5299.86	347.98	
0.01	986147	13853	334.684	7559.06	352.66	
0.05	966278	33722	292.541	6715.94	422.3	
0.1	937903	62097	238.978	5352.29	471.57	
0.01	986279	13721	334.392	7577.64	529.32	
0.05	966448	33552	293.023	6702.83	629.44	
0.1	937471	62529	239.33	5372.24	705	
0.01	986372	13628	333.869	7602.32	436.05	
0.05	966430	33570	292.793	6692.38	522.85	
0.1	937942	62058	238.82	5333.15	581.62	
0.01	986510	13490	345.42	7287.6	267.17	
0.05	967274	32726	307.603	6535.88	317.21	
0.1	938338	61662	258.321	5259.14	358.15	
0.01	986459	13541	346.778	7360.7	262.78	
0.05	966866	33134	310.086	6559.8	312.24	
0.1	938447	61553	259.505	5264.08	347.04	
0.01	986408	13592	345.56	7366.18	569.72	
0.05	966981	33019	313.394	6559.87	637.71	
0.1	938004	61996	261.856	5273.19	712.3	
0.01	986206	13794	349.805	7326.83	264.64	
0.05	967244	32756	314.641	6530.37	312.53	
0.1	938383	61617	263.063	5276.7	348.89	
0.01	986310	13690	351.844	7351.61	268.16	
0.05	967139	32861	315.558	6551.62	337.35	
0.1	937918	62082	264.432	5284.84	376.66	
0.01	986388	13612	353.69	7389.41	283.26	
0.05	967089	32911	315.741	6547.16	335.11	
0.1	938656	61344	267.022	5293.29	376.57	
0.01	986350	13650	356.224	7392.31	365.66	
0.05	966799	33201	320.253	6585.28	438.93	
0.1	937897	62103	269.513	5322.7	494.34	
0.01	986334	13666	358.713	7349.48	270.06	
0.05	966915	33085	323.778	6621.88	321.62	
0.1	937749	62251	272.951	5370.8	360.02	
0.01	986356	13644	360.986	7419.17	289.05	
0.05	967113	32887	324.513	6613.38	343.03	
0.1	937572	62428	274.37	5352.26	388.85	
0.01	986390	13610	365.303	7476.97	293.17	
0.05	966830	33170	331.448	6706	352.4	
0.1	937030	62970	281.114	5429.85	400.64	
0.01	986306	13694	370.114	7688.63	296.59	
0.05	966404	33596	339.096	6842.04	359.17	
0.1	935328	64672	288.107	5548.94	412.19	
0.01	986401	13599	375.87	7648	387.22	
0.05	966313	33687	342.578	6910.2	470.21	
0.1	935784	64216	290.922	5592.93	537.54	
0.01	986452	13548	385.497	7870.31	307.48	
0.05	965790	34210	352.936	7084.4	376.78	
0.1	934266	65734	295.939	5754.98	430.93	
0.01	986432	13568	390.374	8073.08	310.94	
0.05	965793	34207	358.04	7177.71	379.74	
0.1	933601	66399	301.873	5851.27	438.05	
0.01	986314	13686	400.564	8288.86	302.24	
0.05	965267	34733	367.419	7442.44	370.27	
0.1	931867	68133	304.79	6076.57	426.35	
0.01	986464	13536	408.774	8548.58	297	
0.05	965225	34775	375.508	7696.47	369.87	
0.1	930848	69152	310.286	6274.94	442.7	
0.01	986432	13568	421.058	8971.64	311.03	
0.05	964276	35724	384.873	8075.9	398.32	
0.1	928973	71027	309.958	6554.52	459.62	
0.01	986212	13788	427.281	9379.23	327.99	
0.05	963663	36337	391.93	8443.57	414	
0.1	927944	72056	311.875	6838.9	478.23	
0.01	986071	13929	440.459	10069.8	364.42	
0.05	962841	37159	399.161	9007.85	466.49	
0.1	925375	74625	311.654	7211.83	546.23	
0.01	986378	13622	374.35	8303.26	364.25	
0.05	966505	33495	331.071	7335.85	434.02	
0.1	937703	62297	272.727	5842.72	481.44	
0.01	986269	13731	374.067	8244.7	288.67	
0.05	966685	33315	332.248	7316.67	344.17	
0.1	937738	62262	274.509	5851.6	383.75	
0.01	986232	13768	377.174	8226.71	289.1	
0.05	966511	33489	335.487	7326.87	344.32	
0.1	937600	62400	276.704	5855.64	382.17	
0.01	986410	13590	378.943	8271.38	570.19	
0.05	966267	33733	335.836	7353.71	676.43	
0.1	937613	62387	277.925	5881.88	742.48	
0.01	986370	13630	380.934	8302.28	290.87	
0.05	966552	33448	338.036	7430.66	347.52	
0.1	937803	62197	281.471	5889.03	384.99	
0.01	986263	13737	382.616	8261.85	291.27	
0.05	966655	33345	341.087	7355.3	351.85	
0.1	937215	62785	283.573	5885.87	392.26	
0.01	986468	13532	383.218	8198.73	290.22	
0.05	966651	33349	339.43	7379.6	345.83	
0.1	937417	62583	285.655	5900.72	388.05	
0.01	986377	13623	384.12	8231.14	293.25	
0.05	966645	33355	342.181	7382.27	350.43	
0.1	937555	62445	286.924	5888.34	391.99	
0.01	986526	13474	384.428	8273.71	292.14	
0.05	966440	33560	344.716	7369.95	349.48	
0.1	938092	61908	287.442	5910.98	386.81	
0.01	986449	13551	389.2	8286.39	370.16	
0.05	966719	33281	347.612	7342.41	439.78	
0.1	937660	62340	289.7	5912.26	486.99	
0.01	986228	13772	388.599	8252.48	369.13	
0.05	966172	33828	348.642	7405.04	442.96	
0.1	937190	62810	292.622	5924.47	489.48	
0.01	986434	13566	392.158	8271.18	298.2	
0.05	966651	33349	352.483	7438.64	358.06	
0.1	937140	62860	295.718	5960.29	402.11	
0.01	986440	13560	398.101	8407.43	594.04	
0.05	966377	33623	359.495	7508.65	710.86	
0.1	936639	63361	301.121	6044.75	844.74	
0.01	986547	13453	399.098	8416.91	380.93	
0.05	966645	33355	360.018	7507.71	456.67	
0.1	937113	62887	302.612	6051.2	513.81	
0.01	986277	13723	406.216	8559.76	307.76	
0.05	966418	33582	367.928	7618.33	368.58	
0.1	936579	63421	310.466	6154.33	415.62	
0.01	986256	13744	408.903	8516.49	296.28	
0.05	966408	33592	372.055	7586.37	352.93	
0.1	936013	63987	313.576	6143.33	397.3	
0.01	986447	13553	415.289	8717.67	390.53	
0.05	966328	33672	377.223	7712.18	473.69	
0.1	935624	64376	317.1	6270.59	529.18	
