0.01	986740	13260	1140.45	38729.8	901.09
0.05	968521	31479	968.986	34285.8	1113.32
0.1	942727	57273	728.072	27385.9	1266.82
0.01	989065	10935	405.495	11775.7	293.37
0.05	985752	14248	415.341	11575.9	312.08
0.1	980385	19615	425.837	11379.1	347.73
0.01	987504	12496	882.041	28846.8	665.06
0.05	974558	25442	802.485	26951.2	808.14
0.1	954586	45414	662.954	23047	924.7
0.01	987921	12079	802.089	27328.2	614.66
0.05	976961	23039	752.241	25832.6	731.81
0.1	959908	40092	635.397	22728.3	852.74
0.01	988166	11834	673.546	23287	992.04
0.05	980935	19065	659.613	22653.7	1127.45
0.1	969762	30238	601.266	20982.7	1272.58
0.01	987337	12663	992.703	35702.7	904.9
0.05	973634	26366	894.111	33433.2	1116.4
0.1	952530	47470	697.235	27889.4	1275.39
0.01	989988	10012	111.228	942.586	79.42
0.05	989392	10608	111.731	923.926	80.38
0.1	989024	10976	112.103	909.033	80.61
0.01	987044	12956	1082.25	36380.7	854.04
0.05	970695	29305	955.095	33155.1	1058.16
0.1	946264	53736	747.711	27091.7	1195.49
0.01	989760	10240	105.928	703.152	79.84
0.05	989486	10514	105.845	697.311	83.2
0.1	988905	11095	105.956	697.264	92.7
0.01	989876	10124	108.532	866.341	74.54
0.05	989470	10530	108.908	862.792	74.81
0.1	988776	11224	108.94	864.61	74.08
0.01	989808	10192	167.844	3672.05	102.81
0.05	988972	11028	169.873	3529.32	105.81
0.1	987785	12215	173.247	3392.62	108.43
0.01	989680	10320	111.42	858.985	60.38
0.05	989393	10607	111.682	857.354	60.82
0.1	988865	11135	111.903	835.308	60.84
0.01	987247	12753	909.505	29194.1	675.58
0.05	973380	26620	825.906	27049.5	808.45
0.1	952920	47080	668.533	22917.4	904.69
0.01	988526	11474	537.34	16249.2	370.42
0.05	982692	17308	549.995	15779.9	421.78
0.1	973868	26132	527.528	15084.4	461.66
0.01	986510	13490	1151.99	38472.6	922.42
0.05	969118	30882	985.933	34383.7	1186.11
0.1	944038	55962	747.761	27692.6	1245.98
0.01	987843	12157	794.277	26388.6	571.1
0.05	976925	23075	748.998	24879.9	682.74
0.1	960251	39749	632.995	21970.7	773.03
0.01	989794	10206	133.416	2326.98	85.97
0.05	989250	10750	134.936	2246.56	85.69
0.1	988509	11491	136.099	2152.37	87.91
0.01	986851	13149	1157.54	45779.2	958.25
0.05	970045	29955	993.635	40203.9	1196.19
0.1	945066	54934	726.508	32064.1	1392.48
0.01	989631	10369	223.776	6919.65	157.17
0.05	988151	11849	227.092	6918.31	168.2
0.1	985988	14012	226.89	6784.12	178.71
0.01	987125	12875	1093.56	39206	879.65
0.05	971163	28837	942.333	35400.3	1072.9
0.1	947799	52201	718.101	28836.7	1203.43
0.01	989658	10342	158.857	4227.27	107.69
0.05	988955	11045	160.828	4170.49	111.24
0.1	987756	12244	161.552	4079.45	115.83
0.01	989688	10312	162.305	5009.73	107.75
0.05	989051	10949	162.253	5032.16	110.6
0.1	987504	12496	162.791	4985.71	114.32
0.01	986860	13140	1084.7	38347.9	841.57
0.05	970896	29104	936.339	34526.3	1025.19
0.1	946910	53090	718.624	28110.1	1170.88
0.01	989860	10140	131.621	2100.21	93.23
0.05	989208	10792	132.388	2010.64	97.48
0.1	988421	11579	133.868	1963.43	98.9
0.01	987776	12224	826.748	32414.4	760.89
0.05	976638	23362	757.174	30682.6	924.94
0.1	960142	39858	620.465	26344.3	1043.08
0.01	987179	12821	1083.44	39009.9	991.95
0.05	971090	28910	931.571	35481.3	1217.47
0.1	948033	51967	710.688	28785.2	1381.42
0.01	988170	11830	760.99	28971.9	482.89
0.05	978795	21205	720.929	27685.4	566.91
0.1	964644	35356	617.91	24815.6	646.57
0.01	987488	12512	892.205	31350.1	654.08
0.05	974322	25678	812.803	29124.6	784.26
0.1	954728	45272	649.202	24562.5	886.62
0.01	988785	11215	523.186	16336.7	381.81
0.05	982501	17499	520.993	16110.6	465.16
0.1	973450	26550	496.589	15388.8	526.49
0.01	987582	12418	846.995	26448	643.55
0.05	975564	24436	788.462	25085.3	816.46
0.1	956897	43103	663.572	21744	921.71
0.01	986860	13140	1113.2	38406.6	901.01
0.05	969414	30586	938.118	34482	1151.02
0.1	944593	55407	704.171	27551.7	1203.27
0.01	986476	13524	1189.94	43227.5	1228.15
0.05	968620	31380	1002.17	38123.7	1433.97
0.1	942596	57404	738.173	30287.3	1534.06
0.01	988433	11567	633.483	18163.5	415.82
0.05	981197	18803	642.357	17484.8	479.76
0.1	969503	30497	609.958	16619	551.14
0.01	989686	10314	181.023	4327.85	114.68
0.05	988961	11039	184.023	4162.94	118.64
0.1	987370	12630	188.981	4030.1	129.71
0.01	987033	12967	962.085	29212	738.73
0.05	971955	28045	866.298	27152.1	934.53
0.1	948980	51020	696.312	22542.9	1041.14
0.01	987057	12943	1063.53	39468.5	871.2
0.05	972287	27713	929.294	36162.3	1128.13
0.1	950187	49813	716.24	29789.1	1201.41
0.01	987701	12299	852.764	27217.2	592.33
0.05	975069	24931	789.615	25400.4	715.18
0.1	956311	43689	659.225	21919.7	807.29
0.01	986382	13618	1262.66	44248.2	1030.63
0.05	967511	32489	1056.99	38964.6	1354.18
0.1	939545	60455	776.389	30767.6	1417.2
0.01	986390	13610	1294.13	47002.8	1002.23
0.05	967627	32373	1071.78	41545.1	1250.78
0.1	941031	58969	774.544	32459.3	1383.55
0.01	988038	11962	692.857	25424.5	544.29
0.05	979987	20013	667.927	23847.9	640.46
0.1	967527	32473	592.19	21946.4	706.23
0.01	989952	10048	108.683	866.591	62.14
0.05	989369	10631	108.799	865.029	62.07
0.1	989006	10994	109.203	845.192	62.27
0.01	988844	11156	517.298	16913.3	382.24
0.05	983322	16678	518.687	16569.1	429.27
0.1	974890	25110	499.506	15814.7	489.89
0.01	989843	10157	164.138	2836.41	98.07
0.05	989033	10967	166.798	2742.9	98.94
0.1	987924	12076	169.901	2662.58	102.66
0.01	989517	10483	266.699	6246.43	220.58
0.05	987580	12420	273.093	6202.74	232.03
0.1	984858	15142	279.792	6047.99	245.71
0.01	986921	13079	1099.13	38982.2	859
0.05	970473	29527	944.442	35154.1	1098.74
0.1	945733	54267	711.946	28367.6	1264.75
0.01	989146	10854	341.373	12310.8	254.61
0.05	986275	13725	343.6	12132.5	255.01
0.1	982174	17826	340.435	11955.1	273.7
0.01	990115	9885	105.957	707.566	140.81
0.05	989459	10541	105.846	706.255	141.01
0.1	988980	11020	106.022	699.494	143.02
0.01	988123	11877	679.61	20633.3	617.89
0.05	978732	21268	656.159	20095.6	729.6
0.1	964501	35499	589.173	18110	825.52
0.01	987239	12761	1022.84	34898.7	775.61
0.05	972230	27770	899.496	31838.1	956.01
0.1	949560	50440	706.799	26352.5	1089.06
0.01	988916	11084	548.656	17782.2	395.12
0.05	982801	17199	539.202	17229.5	454.56
0.1	973759	26241	515.876	16184.4	552.33
0.01	987844	12156	815.049	29161.2	607.64
0.05	977215	22785	757.555	27753.2	679.89
0.1	960358	39642	636.546	24397.5	837.69
0.01	987889	12111	767.974	28917	498.53
0.05	978223	21777	704.778	27845.3	598.7
0.1	963196	36804	595.056	24111.9	686.48
0.01	989738	10262	125.199	1290.85	86.56
0.05	989311	10689	126.01	1276.76	89.18
0.1	988864	11136	126.501	1256.5	88.04
0.01	989521	10479	278.292	8988.81	179.67
0.05	987509	12491	284.068	8912.78	200.99
0.1	984562	15438	288.47	8665.74	219.62
0.01	988249	11751	681.854	25255.8	502.92
0.05	980275	19725	651.543	24077.5	567.31
0.1	967325	32675	575.955	22041.7	664.27
0.01	988169	11831	630.274	21173.3	479.95
0.05	980325	19675	609.855	20451	545.42
0.1	968475	31525	547.003	18724	617.84
0.01	989919	10081	108.397	872.308	71.71
0.05	989450	10550	108.934	855.893	73.04
0.1	989076	10924	108.675	849.23	71.22
0.01	987722	12278	847.811	25875.9	538.52
