ID,PositionX,PositionY,PositionZ
21247,2006.66,11101.3,0.0
20697,2010.72,11028.8,0.07519846933031499
461,1822.5,3134.86,0.09182176537611308
2547,1744.52,2749.29,0.1138993012484627
163,1880.54,4691.07,0.13512759084745893
23521,2124.12,11724.1,0.16101491629845588
45,1810.64,3413.81,0.2547271740314523
20695,2005.35,10957.4,0.2856043282057459
24311,2352.67,12537.5,0.3278334634692398
22297,2227.1,11894.9,0.34120061211249575
3983,1735.87,2357.02,0.34165046756219014
21239,2035.9,11099.8,0.3802411478768697
12879,1526.28,9517.88,0.44384237767452256
24972,2450.75,12662.5,0.4929492648957249
27166,3108.41,13220.7,0.5755346861053136
20703,2016.79,11043.2,0.6025232600034135
21224,1912.9,11085.5,0.6202294133401199
20656,1921.22,10510.8,0.6380743239171619
47,1854.54,3418.8,0.6382822448946455
24312,2637.68,12533.4,0.712522452380093
21271,1866.75,11391.1,0.822499626982371
49,1827.76,3432.29,0.8485914118507054
29166,2270.59,13808.1,0.8578811575851615
497,1767.29,3619.09,0.8817654137566057
23566,2237.78,12057.6,0.9211714949554176
22850,2259.26,11921.0,0.9369195026578183
27710,2818.99,13571.8,0.9434978820057883
22849,2042.42,11979.9,1.1429972905402817
21214,1335.24,10848.3,1.3015316184196624
1356,1589.66,6621.56,1.3382860555463385
1459,1695.37,3266.2,1.4039541291939284
20682,1902.3,10590.8,1.4623031033339144
21643,1418.25,10738.8,1.4629294850664973
5664,1838.9,777.7180000000001,1.5225116800039524
4008,1688.19,2562.64,1.54856872351401
20718,2012.77,11174.2,1.5693605555212105
464,1808.83,3159.39,1.6028946049061346
46,1823.3,3414.82,1.6287659987897294
22843,2132.27,11671.6,1.724109745090086
20658,1907.81,10520.4,1.743425780387239
3944,1767.61,1520.28,1.7452441106015002
496,1778.86,3616.18,1.7898215846447223
21769,2079.53,11404.1,1.7935832018055278
2517,1591.92,1886.77,1.8513304962245047
21219,2004.42,10905.3,1.932018438803579
20730,1883.2,11305.0,1.9711443530519488
7583,1264.04,1348.12,2.0088553939416127
24307,2300.46,12243.7,2.0579807579071416
5569,1728.47,7583.77,2.073493618844567
24322,2655.05,12552.4,2.1668638963502005
21775,2068.2,11550.7,2.1703803697875013
26563,2902.39,13170.9,2.208438798276632
22842,1970.95,11766.3,2.211177186344311
20657,1890.49,10516.5,2.293934152825264
164,1833.04,4739.25,2.3295117141155224
21771,1963.77,11468.7,2.3365574034324
2532,1851.33,2532.46,2.3841297055012216
20681,1897.62,10566.8,2.4598972462316997
162,1848.76,4666.33,2.480276788186049
21202,1894.04,10649.1,2.5141360146458887
3945,1788.99,1535.61,2.5228742093422465
22846,1819.79,11843.3,2.6205242878586392
24315,2621.19,12531.3,2.6432029265062993
3994,1790.4,2396.26,2.644850059188834
3991,1830.25,2369.0,2.644850059188834
53,1821.49,3657.48,2.728223070972606
21223,1999.71,10911.2,2.811189832726918
458,1837.31,3134.36,2.83682594051329
22837,1839.02,11779.3,2.854896515665843
21649,1894.79,10720.8,2.855955726097804
12880,1528.82,9525.77,2.8745494274735774
29181,2754.13,13834.9,2.9155660373313745
75,1837.38,4014.22,2.9261728402867484
24956,2323.75,12369.9,2.9369869807264077
27147,2214.97,13243.0,3.139348475480359
23517,2110.24,11733.1,3.1394314683216433
20732,1986.65,11311.6,3.188038786184746
3955,1667.23,1747.22,3.1983221871175016
22257,1956.1,11428.0,3.205541972179654
22838,1905.78,11802.7,3.2669700103852644
5568,1741.28,7568.93,3.3063431724356924
5576,1745.41,7775.14,3.383902070807434
22822,1871.0,11650.9,3.441781764999063
21264,2047.13,11287.3,3.4702309745810385
21770,1958.47,11457.0,3.4742932237409674
2516,1648.16,1870.21,3.476038017729766
21265,1967.61,11289.5,3.4799559487753466
20187,1922.48,10485.5,3.490849920534798
25972,1953.48,13060.7,3.52950138122616
455,1737.17,3178.19,3.6379956802935847
27715,2785.52,13577.9,3.639673090979738
21213,1197.19,10948.7,3.6785404347992032
27146,2238.76,13219.0,3.6860560626482455
1465,1704.9,3275.82,3.6960474986304757
7688,1814.4,2241.28,3.7029782712395045
20701,1978.85,10966.2,3.7053606229847604
3932,1308.12,1206.66,3.7925760538500133
21209,1839.95,10637.6,3.8487656791613967
21225,1911.17,11072.0,3.8772130160555283
18273,1871.31,10153.7,3.883370438006945
2511,1545.38,1893.88,3.9564725561176513
100,1729.26,4357.18,3.977097636556623
21232,2022.58,11035.4,3.9873410263133864
2563,1828.47,2752.72,3.994547233000464
22836,1877.54,11681.6,4.044138147077503
21210,1910.13,10648.3,4.109928029167746
21651,1917.67,10746.4,4.129151752846897
20720,2040.48,11149.1,4.165134887589828
23546,2220.87,11970.9,4.178136990341068
23534,2055.45,11981.1,4.2051223222532
1435,1770.79,2860.19,4.2437790817296674
29192,2619.63,13979.0,4.25438844485054
5725,1861.34,2133.31,4.297271598281898
24319,2462.85,12608.7,4.3266605612311055
2509,1762.7,1620.99,4.330486316473636
7668,1817.74,2064.45,4.331379384467844
22259,2021.11,11477.8,4.364897902752932
29179,2666.16,13825.1,4.382396494178953
22258,1978.85,11434.4,4.420045908960905
21216,1938.59,10873.4,4.489180799502378
28723,2370.0,13729.8,4.509516147093781
